Site,Date,Chl_a,DOC,TDN,TOC,TN,Ammonium,NO2NO3,Nitrite,Orthophosphate,Silicate,DIN,DON,DIN_DIP
Blind Oso,2022-07-07,23.884999999999998,665.2,58.2,1106.6,162.3,0.524,0.20400000000000001,0.0965,2.926,90.3135,0.728,57.47200000000001,0.24886355565025925
Blind Oso,2022-07-08,20.015,1062.4499999999998,61,1314.0500000000002,179.75,0.47550000000000003,0.178,0.1395,2.896,69.09,0.6535,60.346500000000006,0.2259784311891761
Blind Oso,2022-07-09,24.1,830.1,55.25,1439.35,180.7,0.4135,0.17099999999999999,0.1515,3.4225000000000003,86.44,0.5845,54.6655,0.17073274850056563
Blind Oso,2022-07-11,21.265,796,55.1,1113.2,127.55,0.616,0.16999999999999998,0.1655,2.1605,107.57300000000001,0.786,54.314,0.36385452568059723
Blind Oso,2022-07-12,39.775,778.2,63.75,1280.05,164.7,0.844,1.092,0.362,2.987,96.75049999999999,1.936,61.814,0.648098902428047
Blind Oso,2022-07-13,28.11,715.0999999999999,68.55000000000001,1372.25,178.60000000000002,0.5589999999999999,0.16699999999999998,0.0605,1.0285,75.7925,0.726,67.82400000000001,0.7046609143661248
Blind Oso,2022-07-14,37.875,702.5,56.75,1348.85,170.3,1.0565,0.1265,0.0685,1.6585,66.6135,1.183,55.567,0.7129283506092017
Blind Oso,2022-07-15,59.56,699,66.65,1493.1,211.3,0.692,6.6754999999999995,0.16999999999999998,0.5675,72.849,7.3675,59.282500000000006,12.984273009011694
Blind Oso,2022-07-16,27.64,693.25,99.3,1460.6,265.65,1.7338749999999998,0.1955,0.07325000000000001,0.08762500000000001,143.714125,1.929375,97.370625,22.33678152396019
Blind Oso,2022-07-17,39.474999999999994,696.7,116.30000000000001,1601.05,313.4,1.1025,52.202,0.317,6.751,105.32050000000001,53.304500000000004,62.99550000000001,7.898286985513607
Blind Oso,2022-07-18,96.39500000000001,1198.95,98.3,2076.6,312.85,0.692,0.16799999999999998,0.065,3.466,70.91749999999999,0.86,97.44,0.24803425190347556
Blind Oso,2022-07-19,84.25999999999999,562.3,77.65,1562.9,262.5,0.52,33.3635,0.169,9.2395,92.573,33.8835,43.76649999999999,3.667254249027945
Canals,2022-07-07,5.21,635.95,60.05,767,70.94999999999999,0.33799999999999997,0.176,0.052000000000000005,0.028,152.1725,0.514,59.536,20.612368024132728
Canals,2022-07-08,7.285,840.5999999999999,51.8,921.6,68.44999999999999,0.34650000000000003,0.16549999999999998,0.115,0.07,149.264,0.512,51.288,7.389402859545837
Canals,2022-07-09,5.4,729.25,53.4,755.75,70.2,0.884,0.1495,0.067,0.3095,148.288,1.0335,52.3665,3.3449868211865112
Canals,2022-07-11,6.52,681.8,53.95,733.85,74.95,0.7735000000000001,0.162,0.0945,0.040499999999999994,140.382,0.9355,53.0145,25.857843137254903
Canals,2022-07-12,7.16,650.95,60.35,726.7,76.1,0.7985,0.1275,0.1015,0.0215,140.0845,0.9259999999999999,59.42400000000001,103.04736842105262
Canals,2022-07-13,8.425,644.3499999999999,61.75,782.95,90.45,1.678,0.231,0.03,0.07,142.938,1.909,59.840999999999994,27.80078854534136
Canals,2022-07-14,7.18,654.4000000000001,56.2,763.85,72.9,2.752,0.20400000000000001,0.0505,0.139,144.286,2.956,53.244,21.34268058368386
Canals,2022-07-15,9.195,647.9,57.7,738.7,69.9,1.7069999999999999,0.21950000000000003,0.111,0.12,147.548,1.9264999999999999,55.7735,16.12504347826087
Canals,2022-07-16,4.465,583.2,56.45,670.25,69,0.787875,2.01525,0.16525,1.560375,78.001375,2.8031249999999996,53.646875,1.7965432833089308
Canals,2022-07-17,9.99,653.9,59.15,734.1,75.7,1.1335,0.16249999999999998,0.16249999999999998,0.0475,147.64350000000002,1.2959999999999998,57.854,28.14010989010989
Canals,2022-07-18,12.504999999999999,654.05,62.75,788.05,84.3,1.1975,0.166,0.14450000000000002,0.0235,149.239,1.3635000000000002,61.3865,62.77058823529411
Canals,2022-07-19,11.295,643.75,55.349999999999994,743,68.44999999999999,1.323,0.186,0.125,0.083,149.68349999999998,1.509,53.841,18.957349581111956
Gulf,2022-07-07,2.8200000000000003,144.95,17,161.35,23.85,0.2945,0.14500000000000002,0.108,0.364,13.7675,0.4395,16.560499999999998,1.2116612633854014
Gulf,2022-07-08,2.7199999999999998,304.35,12.25,509.6,17.4,0.3145,0.14150000000000001,0.07,0.451,10.7395,0.456,11.794,1.009637322004563
Gulf,2022-07-09,3.83,270.85,11.100000000000001,306,16.549999999999997,1.2025,0.1625,0.08750000000000001,0.403,10.6395,1.3649999999999998,9.735,3.3847797095722614
Gulf,2022-07-11,3.47,155.5,9.45,197.45,17.4,0.4235,0.16649999999999998,0.123,0.34650000000000003,9.2635,0.59,8.86,1.7036118980169972
Gulf,2022-07-12,3.7199999999999998,125.85,10.5,137.7,19.8,0.863,0.154,0.08399999999999999,0.42600000000000005,5.5995,1.017,9.483,2.374138083451202
Gulf,2022-07-13,5.130000000000001,140.85000000000002,16.5,204.5,28.6,1.1575000000000002,0.2945,0.22599999999999998,0.558,0.4585,1.452,15.048,2.602249400063608
Gulf,2022-07-14,4.595000000000001,99.4,13,176.3,28.549999999999997,1.8725,0.131,0.052,0.3345,0.15050000000000002,2.0035,10.996500000000001,5.99852577430456
Gulf,2022-07-15,5.32,129.35,9.8,229.5,17.05,2.2355,0.172,0.14250000000000002,0.428,2.4435000000000002,2.4074999999999998,7.3925,5.6210026212319795
Gulf,2022-07-16,3.6900000000000004,108.15,12.4,244.4,28.05,1.532125,0.18787500000000001,0.126125,0.436625,2.1630000000000003,1.72,10.68,3.9366662072088925
Gulf,2022-07-17,4.75,117.55000000000001,13.55,195.9,27.1,1.0670000000000002,0.1575,0.04,0.47950000000000004,8.8415,1.2245,12.3255,2.5763913808344348
Gulf,2022-07-18,5.77,199.35000000000002,16.05,591.5,25.4,1.571,0.2355,0.1495,0.5805,14.568,1.8065,14.243500000000001,3.1097976586641316
Gulf,2022-07-19,7.375,96.05,10.2,160.35,17.6,1.446,0.1525,0.061,0.3755,13.274000000000001,1.5985,8.6015,5.441056910569106
