Target,Cq,SQ
VP,17.50498031,3710000
VP,17.38391116,3710000
VP,17.31854221,3710000
VP,17.30328778,3710000
VP,17.1987916,3710000
VP,20.79277687,371000
VP,20.68796487,371000
VP,20.68381088,371000
VP,20.5272109,371000
VP,20.61647352,371000
VP,24.11476466,37100
VP,24.13178514,37100
VP,24.10935304,37100
VP,24.00805112,37100
VP,24.02387014,37100
VP,27.78828029,3710
VP,27.76545788,3710
VP,27.54617986,3710
VP,27.74357844,3710
VP,27.61071754,3710
VP,31.24288515,371
VP,31.22150814,371
VP,31.27064015,371
VP,31.03637787,371
VP,31.05628761,371
VP,34.5573152,37.1
VP,35.12340212,37.1
VP,34.24686322,37.1
VP,34.24633631,37.1
VP,34.6960067,37.1
VP,35.7228855,3.71
VP,35.57590681,3.71
VP,35.97924754,3.71
VP,34.93715132,3.71
VP,35.00027745,3.71
VP,NaN,0.371
VP,NaN,0.371
VP,NaN,0.371
VP,NaN,0.371
VP,NaN,0.371